Прайс-лист на 23 сентября 2026 г.									

Ценовая группа		Розничная	АКЦИЯ
Артикул	Номенклатура	руб.	руб.
		Не включает НДС	Не включает НДС
		Цена	Цена
			
	DoorHan DHRE-1 Радиоприемник до 1000 пультов	2 800,00	2 500,00
	DT 12012, 12B, 1.2Ач Аккумуляторная батарея	700,00	700,00
	GSM модуль Домофой IP	9 600,00	9 000,00
	LAN тестер	500,00	450,00
	WiFi комплект роутер модем симкарта	8 100,00	7 800,00
	WiFi усилитель TP-Link tl-wa855re	3 000,00	2 500,00
	Адаптер I-SHIELD	6 500,00	6 500,00
	Адаптер RDA PRO	15 000,00	15 000,00
	Аккумуляторная батарея Optimus AP-1207	1 000,00	850,00
	Анкер 8*15 с болтом	25,00	24,00
	Анкер 8*40 с болтом	32,00	0,31
	Анкер болт 10*80	28,00	28,00
	Анкер болт 12*250	300,00	285,00
	Анкер болт 8-65	20,00	18,00
	Анкер болт с кольцом	22,00	21,00
	Анкер крюк 8*45	80,00	70,00
	Анкер крюк 8*60	70,00	60,00
	Астра 10 испМ2 Оповещатель охранно-пожарный свето звуковой	297,00	297,00
	Астра 512 Извещатель охранный объемный оптико-электронный ИО 409-42	928,00	928,00
	Аудио трубка TANTOS TS-AD	850,00	830,00
	Батарейка АА	20,00	20,00
	Батарейка крона	350,00	345,00
	Бита PH2	75,00	70,00
	Бита звездочка набор	108,00	108,00
	Бита ударная магнитная 70 мм	120,00	115,00
	Блок вызова SECRET TOP T1E-25M	22 680,00	22 680,00
	Блок вызова SECRET TOP T3P-31M Silver	22 680,00	22 680,00
	Блок вызова SECRET TOP T3P-32M Silver	22 680,00	22 680,00
	Блок вызова SECRET TOP T3P-36M AHD Silver	25 000,00	25 000,00
	Блок вызова SECRET TOP T3P-36M Grey	22 680,00	22 680,00
	Блок вызова SECRET TOP T3P-36M Silver	24 000,00	24 000,00
	Блок вызова SECRET TOP T4C-212M  AHD Grey	29 500,00	27 500,00
	Блок вызова SECRET TOP T4K-212M AHD Grey	30 100,00	29 000,00
	Блок вызова SECRET TOP T4P-38M AHD Grey	28 500,00	26 500,00
	Блок вызова SECRET TOP T4P-38M AHD Silver	28 500,00	26 500,00
	Блок вызова SECRET TOP T4P-38M Grey	25 650,00	24 700,00
	Блок вызова SECRET TOP T4P-41M  Silver	27 500,00	25 500,00
	Блок вызова SECRET TOP T4P-41M AHD Grey	28 500,00	28 000,00
	Блок вызова SECRET TOP T4P-41M Grey	27 500,00	25 500,00
	Блок питания FT-AC/DC 24V-2A	650,00	600,00
	Блок питания Optimus 1230-RM-7	1 615,00	1 373,00
	Блок питания PV-DC1A PV-Link v.2030	600,00	550,00
	Блок питания PV-DC2A PV-Link v.2031	700,00	650,00
	Блок питания PV-DC3A PV-Link v.2032	1 000,00	950,00
	Блок питания PV-DC5As PV-Link v.D55	2 381,00	2 100,00
